ship_to	Channel	Customer group 3	Sold-to	Sold-to Name	Ship-to State	Ship-to	Name	BDE State	Salesman Name	Longitude	Latitude	_coords_fall_in	Address	City	correct_lat	correct_lng	coord_status	confidence	expected_state	note
A029737	MFC		724390	TELESCOPE TYRES & BATTERIES	NSW	A029737	TELESCOPE TYRES GROUP C/O NEXUS BUS	NSW	LUTTRELL STEVE	151.9030938	-27.9363635	QLD	3 AMY CLOSE	WYONG	-33.282000	151.420000	WRONG_COORD	suburb	NSW	Wyong NSW (Central Coast) — geocoder hit Toowoomba QLD
A029675	Ind.Retailer		A018134	POWERTECH PLUS	NSW	A029675	KIM'S AUTO & TYRE	NSW	LUTTRELL STEVE	152.8306053	-25.2867996	QLD	434 PACIFIC HIGHWAY	WYOMING	-33.426000	151.394000	WRONG_COORD	suburb	NSW	Wyoming NSW (Central Coast) — geocoder hit Maryborough QLD
A018891	NFC	ACS	A018891	MERCEDES-BENZ AUSTRALIA	VIC	A018891	MERCEDES-BENZ AUSTRALIA	NSW	BUCKLEY Paul	145.1530582	-37.9131899	VIC	44 LEXIA PL	MULGRAVE	-33.640400	150.916200	WRONG_COORD	street	NSW	Mercedes-Benz Aust HQ, Mulgrave NSW 2756 — geocoder picked Mulgrave VIC
A031010	Ind.Retailer		A019687	BUDGET TYRES AND MECHANICAL	NSW	A031010	BUDGET TYRES & MECHANICAL DEPOT	NSW	BORGHESE Alessio	153.1944297	-27.7147667	QLD	23 MEEKS RD	MARRICKVILLE	-33.913000	151.158000	WRONG_COORD	suburb	NSW	Marrickville NSW (inner-west Sydney) — geocoder hit Gold Coast QLD
A029671	Ind.Retailer		A025704	TYROOLA INTERNATIONAL PTY LTD	NSW	A029671	ULTRA TUNE TUGGERAH	NSW	LUTTRELL STEVE	153.1944297	-27.7147667	QLD	2/42 - 44 GAVENLOCK RD	TUGGERAH	-33.298000	151.421000	WRONG_COORD	suburb	NSW	Tuggerah NSW (Central Coast) — geocoder hit Gold Coast QLD
A029907	Ind.Retailer	AHD	A029907	SYDNEY TYRE SERVICE	NSW	A029907	SYDNEY TYRE SERVICE	NSW	Robinson Peter	152.8306053	-25.2867996	QLD	U1/30 ELIZABETH DRIVE	WETHERILL PARK	-33.847000	150.890000	WRONG_COORD	suburb	NSW	Wetherill Park NSW (W Sydney) — geocoder hit Maryborough QLD
A029953	ETC		A029953	COD MUDSLINGA 4X4	NSW	A029953	COD MUDSLINGA 4X4	NSW	LUTTRELL STEVE	145.0254615	-37.6588202	VIC	68 MUNIBUNGA	CARDIFF	-32.969000	151.671000	WRONG_COORD	suburb	NSW	Cardiff NSW (Newcastle); 'Munibunga' likely typo for 'Munibung Rd'
A030039	Ind.Retailer	ATD	A030039	INFINITY TYRES	NSW	A030039	INFINITY TYRES	NSW	Robinson Peter	153.0445232	-27.4916917	QLD	6 BOND ST	WETHERILL PARK	-33.853000	150.901000	WRONG_COORD	suburb	NSW	Wetherill Park NSW (W Sydney) — geocoder hit Brisbane QLD
A030073	Ind.Retailer		A030058	BIG WHEELS TRUCK ALIGNMENT	QLD	A030073	BIG WHEELS - OLENDINAR	NSW	LUTTRELL STEVE	115.9703494	-32.0411221	WA	3/23 EXPORT DR	MOLENDINAR	-27.971000	153.367000	WRONG_COORD	suburb	QLD	Molendinar QLD (Gold Coast); shop name 'Olendinar' is missing leading M
A030986	Ind.Retailer	AMM	A030986	ALLCARE DOYALSON	NSW	A030986	ALLCARE DOYALSON	NSW	LUTTRELL STEVE	138.6957592	-34.6778616	SA	2 DAVID ST	DOYALSON	-33.218000	151.535000	WRONG_COORD	suburb	NSW	Doyalson NSW (Central Coast) — geocoder hit Adelaide SA
A031024	ETC		Others	Others	NSW	A031024	COD LANHAM'S MOTOR GROUP	NSW	BUCKLEY Paul	152.8306053	-25.2867996	QLD	1 EBERT ST	GRIFFITH	-34.288000	146.042000	WRONG_COORD	suburb	NSW	Griffith NSW (Riverina) — not Griffith QLD/ACT; geocoder hit Maryborough QLD
A021362	Closed		724394	WA STATE MANAGER	SA	A021362	DNU BEAUREPAIRES RENMARK	QLD	Marsh Aaron	140.7399259	-34.1804764	SA	267 RENMARK AVE	RENMARK	-34.176000	140.747000	COORD_OK	street	SA	Renmark SA — coords are correct; BDE=QLD is the error
A030081	Fixed		728218	GARY'S MOTORSPORT TYRES P/L	QLD	A030081	GARYS MS BRIDGESTONE SELECT SUMNER	QLD	Maclure Adam	150.8183501	-34.062635	NSW	72 SUMNERS RD	SUMNER PARK	-27.582000	152.945000	WRONG_COORD	suburb	QLD	Sumner Park QLD (Brisbane SW industrial)
A022295	MFC		729697	LISMORE TYRE	NSW	A022295	ARMOURY GROUP WHEELS	QLD	Marsh Aaron	150.6912103	-33.7307293	NSW	19 LELAND ST	PENRITH	-33.749000	150.694000	COORD_OK	street	NSW	Penrith NSW — coords are correct; BDE=QLD is the error
A031209	MFC		732494	DIRECT WHOLESALE  TYRE P/L	QLD	A031209	DIRECT WHOLESALE TULLY	QLD	Maclure Adam	151.7104544	-32.9402903	NSW	75 ANN RD	TULLY	-17.932000	145.928000	WRONG_COORD	suburb	QLD	Tully QLD (Far North) — geocoder hit Newcastle NSW
A029641	Ind.Retailer		A025704	TYROOLA INTERNATIONAL PTY LTD	QLD	A029641	KEITH MCKAYS TYRES & MORE	QLD	Maclure Adam	138.6957592	-34.6778616	SA	153 MUSGRAVE ROAD	RED HILL	-27.456000	153.010000	WRONG_COORD	street	QLD	Red Hill QLD (Brisbane inner-north); Keith McKay's Tyres
A030488	Ind.Retailer		A025704	TYROOLA INTERNATIONAL PTY LTD	QLD	A030488	RAPID TUNE CLEVELAND	QLD	Sampson Kieren	137.5427366	-33.0409219	SA	62 SHORE STREET WEST	CLEVELAND	-27.529000	153.265000	WRONG_COORD	suburb	QLD	Cleveland QLD (Redlands)
A030369	Ind.Retailer		A029006	QFR TYRES	QLD	A030369	JJ RICHARDS - STAPYLTON	QLD	Maclure Adam	145.2249563	-37.9963671	VIC	40 QUARRY ROAD	STAPYLTON	-27.768000	153.210000	WRONG_COORD	suburb	QLD	Stapylton QLD (between Brisbane and Gold Coast)
