Channel,Customer group 3,Sold-to,Sold-to Name,Ship-to State,Ship-to,Name,BDE State,Salesman Name,Longitude,Latitude,_coords_fall_in
MFC,,724390,TELESCOPE TYRES & BATTERIES,NSW,A029737,TELESCOPE TYRES GROUP C/O NEXUS BUS,NSW,LUTTRELL STEVE,151.9030938,-27.9363635,QLD
Ind.Retailer,,A018134,POWERTECH PLUS,NSW,A029675,KIM'S AUTO & TYRE,NSW,LUTTRELL STEVE,152.8306053,-25.2867996,QLD
NFC,ACS,A018891,MERCEDES-BENZ AUSTRALIA,VIC,A018891,MERCEDES-BENZ AUSTRALIA,NSW,BUCKLEY Paul,145.1530582,-37.9131899,VIC
Ind.Retailer,,A019687,BUDGET TYRES AND MECHANICAL,NSW,A031010,BUDGET TYRES & MECHANICAL DEPOT,NSW,BORGHESE Alessio,153.1944297,-27.7147667,QLD
Ind.Retailer,,A025704,TYROOLA INTERNATIONAL PTY LTD,NSW,A029671,ULTRA TUNE TUGGERAH,NSW,LUTTRELL STEVE,153.1944297,-27.7147667,QLD
Ind.Retailer,AHD,A029907,SYDNEY TYRE SERVICE,NSW,A029907,SYDNEY TYRE SERVICE,NSW,Robinson Peter,152.8306053,-25.2867996,QLD
ETC,,A029953,COD MUDSLINGA 4X4,NSW,A029953,COD MUDSLINGA 4X4,NSW,LUTTRELL STEVE,145.0254615,-37.6588202,VIC
Ind.Retailer,ATD,A030039,INFINITY TYRES,NSW,A030039,INFINITY TYRES,NSW,Robinson Peter,153.0445232,-27.4916917,QLD
Ind.Retailer,,A030058,BIG WHEELS TRUCK ALIGNMENT,QLD,A030073,BIG WHEELS - OLENDINAR,NSW,LUTTRELL STEVE,115.9703494,-32.0411221,WA
Ind.Retailer,AMM,A030986,ALLCARE DOYALSON,NSW,A030986,ALLCARE DOYALSON,NSW,LUTTRELL STEVE,138.6957592,-34.6778616,SA
ETC,,Others,Others,NSW,A031024,COD LANHAM'S MOTOR GROUP,NSW,BUCKLEY Paul,152.8306053,-25.2867996,QLD
Closed,,724394,WA STATE MANAGER,SA,A021362,DNU BEAUREPAIRES RENMARK,QLD,Marsh Aaron,140.7399259,-34.1804764,SA
Fixed,,728218,GARY'S MOTORSPORT TYRES P/L,QLD,A030081,GARYS MS BRIDGESTONE SELECT SUMNER,QLD,Maclure Adam,150.8183501,-34.062635,NSW
MFC,,729697,LISMORE TYRE,NSW,A022295,ARMOURY GROUP WHEELS,QLD,Marsh Aaron,150.6912103,-33.7307293,NSW
MFC,,732494,DIRECT WHOLESALE  TYRE P/L,QLD,A031209,DIRECT WHOLESALE TULLY,QLD,Maclure Adam,151.7104544,-32.9402903,NSW
Ind.Retailer,,A025704,TYROOLA INTERNATIONAL PTY LTD,QLD,A029641,KEITH MCKAYS TYRES & MORE,QLD,Maclure Adam,138.6957592,-34.6778616,SA
Ind.Retailer,,A025704,TYROOLA INTERNATIONAL PTY LTD,QLD,A030488,RAPID TUNE CLEVELAND,QLD,Sampson Kieren,137.5427366,-33.0409219,SA
Ind.Retailer,,A029006,QFR TYRES,QLD,A030369,JJ RICHARDS - STAPYLTON,QLD,Maclure Adam,145.2249563,-37.9963671,VIC
Ind.Retailer,AHD,A029690,EDISVOLD TYRE SOLUTIONS,QLD,A029690,EDISVOLD TYRE SOLUTIONS,QLD,Spires Steven,151.623213,-32.9505732,NSW
ETC,,Others,Others,VIC,A029640,RAPID TUNE MOORABBIN,QLD,Maclure Adam,151.108456,-33.845155,NSW
Fixed,,728218,GARY'S MOTORSPORT TYRES P/L,SA,A030361,GARYS MS WAIKERIE TYREPOWER,SA,Gultjaeff Jason,151.9030938,-27.9363635,QLD
MFC,AMM,731634,GOOD DEAL TYRES P/L,VIC,731634,GOOD DEAL TYRES P/L,SA,Gultjaeff Jason,142.1671029,-34.206458,NSW
NFC,,735364,DISCOUNT TYRE AND WHEEL P/L,VIC,735533,BOB JANE-MILDURA,SA,Gultjaeff Jason,142.137436,-34.2080883,NSW
