line_index,full_address,lat,lon
1,"255 MAIN ROAD, BLACKWOOD, SA 5051, Australia",-35.0211757,138.6179344
2,"15 FACTORY STREET, POMONA, QLD 4568, Australia",-26.3645865,152.8564653
3,"SHED 6 3 OWNEN CLOSE, PORTSMITH, QLD 4870, Australia",-16.933951,145.7707069
4,"2 JOHN ST, OAKEY, QLD 4401, Australia",-27.4309987,151.7187884
5,"32-38 TELECOM ST, BEAUDESERT, QLD 4285, Australia",-27.9882528,152.9959338
6,"27 ENTERPRISE CIRCUIT, DANDENONG SOUTH, VIC 3175, Australia",-38.08854600000001,145.1648648
7,"63 HENRY ST, LINDENOW, VIC 3865, Australia",-37.8024654,147.461901
8,"4 FITZWILLIAM RD, OLD TOONGABBIE, NSW 2146, Australia",-33.7866352,150.972679
9,"2/21 REPTON ST, DAYTON, WA 6055, Australia",-31.8499194,115.96821
10,"45 RACECOURSE RD, CLERMONT, QLD 4721, Australia",-22.8297153,147.621035
11,"SHOP 13 / 993 PACIFIC HWY, BEROWRA, NSW 2081, Australia",-33.6233405,151.1515097
12,"37 VICTORIA ST, WARWICK, QLD 4370, Australia",-28.2101673,152.036979
13,"10/4 AMAYLA CRES, CARRUM DOWNS, VIC 3201, Australia",-38.1048153,145.165524
14,"2015 IPSWICH RD, ROCKLEA, QLD 4106, Australia",-27.5627481,152.9908389
15,"155-161 PRINCE ST, GRAFTON, NSW 2460, Australia",-29.6870525,152.9362678
16,"38 CASSOLE PLACE, PENRITH, NSW 2750, Australia",-33.735521,150.6880796
17,"UNIT 23/43 BONVIEW CIRCUIT, TRUGANINA, VIC 3029, Australia",-37.8363441,144.7323423
18,"UNIT 2/84 YERRICK RD, LAKEMBA, NSW 2195, Australia",-33.9103086,151.0755777
19,"1 RIVERVIEW DRIVE, BERRI, SA 5343, Australia",-34.2880167,140.60079
20,"9 TRANSLINK DRIVE, KEILOR PARK, VIC 3042, Australia",-37.7232294,144.8491447
21,"90 DURHAM ST, BATHURST, NSW 2795, Australia",-33.4137819,149.5807448
22,"11 YORK STREET, SYDNEY, NSW 2000, Australia",-33.8653173,151.205494
