line_index,full_address,lat,lon
1,"CNR CENTENARY ROAD & LOGAN RD, CLIFTON, QLD 4361, Australia",-27.9363635,151.9030938
2,"41 PLUNKETT RD, DANDENONG, VIC 3175, Australia",-37.9963671,145.2249563
3,"12 EMILY ST, MORTLAKE, NSW 2137, Australia",-33.845155,151.108456
4,"201/2 CURTIS RD, MUNNO PARRA, SA 5115, Australia",-34.6778616,138.6957592
5,"70 LAVARACK AVE, EAGLE FARM, QLD 4009, Australia",-27.4319639,153.0956689
6,"7 GEORGE ST, BEENLEIGH, QLD 4207, Australia",-27.7147667,153.1944297
7,"1/108 BOAT HARBOUR DR, PIALBA, QLD 4655, Australia",-25.2867996,152.8306053
8,"57 WALLSEND ROAD, SANDGATE, NSW 2304, Australia",-32.8727108,151.7051638
9,"19 MAIN ROAD, BOOLAROO, NSW 2284, Australia",-32.9505732,151.623213
10,"106 BOWDEN STREET, RYDE, NSW 2112, Australia",-33.817488,151.0931291
11,"16 BUCH AVENUE, EPPING, VIC 3076, Australia",-37.6588202,145.0254615
12,"2/477-483 DORSET ROAD, BAYSWATER, VIC 3153, Australia",-37.8346262,145.2866407
13,"310 OLD HAWKESBURY RD, VINEYARD, NSW 2765, Australia",-33.6385574,150.8534559
14,"975 IPSWICH ROAD, MOOROOKA, QLD 4105, Australia",-27.5292676,153.0187637
15,"825 DONCASTER RD, DONCASTER, VIC 3108, Australia",-37.7862105,145.1409458
16,"82 PARK AVE, KOTARA, NSW 2289, Australia",-32.9402903,151.7104544
17,"107 CALINGFORD ST, SEFTON, NSW 2162, Australia",-33.8851507,151.0129087
18,"CNR GLADSTONE RD AND MURRAY ST, ROCKHAMPTON, QLD 4700, Australia",-23.38543,150.5074039
19,"1/35 DE-HAVILLAND CRESCENT, BALLINA, NSW 2478, Australia",-28.8478941,153.5557986
20,"4562 CALDER HIGHWAY, INGLEWOOD, VIC 3517, Australia",-36.5659075,143.8628578
21,"24/30 WOODLAND RD, MOUNT THORLEY, NSW 2330, Australia",-32.625869,151.1071332
22,"3 CORNELIUS DR, AUGUSTINE HEIGHTS, QLD 4300, Australia",-27.6516902,152.8823949
23,"N/A, Australia",-37.987452,145.216309
24,"4/22 TANDEM AVE, WARANA, QLD 4575, Australia",-26.7305483,153.125208
25,"107 NORMAN ST, EAST BRISBANE, QLD 4169, Australia",-27.4916917,153.0445232
26,"26-28 GULSON STREET, GOULBURN, NSW 2580, Australia",-34.7269798,149.7459777
27,"FACTORY 16B, 30 NORTH SHORE RD, NORLANE, VIC 3214, Australia",-38.0994644,144.3604863
28,"914 GYMPIE RD, CHERMSIDE, QLD 4032, Australia",-27.3844505,153.0299656
29,"20 PEEL TERRACE, NORTHAM, WA 6401, Australia",-31.6498806,116.6757309
30,"LOT 1, 91 ASHFORD AVE, MILPERRA, NSW 2214, Australia",-33.9370921,150.990206
31,"3/49 RAWS CRESCENT, HUME, ACT 2620, Australia",-35.3941277,149.1664545
32,"21 HITECH DR, KUNDA PARK, QLD 4556, Australia",-26.6690577,153.0297186
33,"1 GIBBINS ST, FOREST GLEN, QLD 4556, Australia",-26.6947626,153.0070785
34,"236 NICKLIN WAY, WARANA, QLD 4575, Australia",-26.7251834,153.1288
35,"UNIT 7 1731-1739 ALBANY HWY, KENWICK, WA 6107, Australia",-32.0411221,115.9703494
36,"78 QUEEN STREET, CAMPBELLTOWN NORTH, NSW 2560, Australia",-34.062635,150.8183501
37,"52 WEBSTER ROAD, STAFFORD, QLD 4053, Australia",-27.4163781,153.0155403
38,"5 OAK AVENUE, APOLLO BAY, VIC 3233, Australia",-38.7554463,143.6573023
39,"72 NORTHERN HWY, ECHUCA, VIC 3564, Australia",-36.1467946,144.7311208
40,"200 LOGAN RD, WOOLLOONGABBA, QLD 4102, Australia",-27.4946233,153.041805
41,"8-10 AVEY RD, MOUNT GAMBIER, SA 5290, Australia",-37.8198627,140.7492498
42,"160 BYNG ST, ORANGE, NSW 2800, Australia",-33.2823709,149.10349
43,"1/2 BROOKE CT, MELTON, VIC 3337, Australia",-37.6935359,144.6008595
44,"103 ROSS ST, TATURA, VIC 3616, Australia",-36.4447678,145.2227347
45,"8 GALBRAITH PARK ROAD, CANNONVALE, QLD 4802, Australia",-20.2905567,148.6737163
46,"1290 LOGAN ROAD, MOUNT GRAVATT, QLD 4122, Australia",-27.5319263,153.0744805
47,"57 TRAFALGAR RD, EPPING, VIC 3076, Australia",-37.6383571,145.0075531
48,"139 EUMUNDI ROAD, NOOSAVILLE, QLD 4566, Australia",-26.4102894,153.0466351
49,"14/60 SHEPPARD STREET, HUME, ACT 2620, Australia",-35.38941,149.1670279
50,"411 GRAND JUNCTION ROAD, WINGFIELD, SA 5013, Australia",-34.8502632,138.5494138
51,"1896 MARMION AVENUE, CLARKSON, WA 6030, Australia",-31.6883098,115.7154067
52,"430 SCARBOROUGH BEACH ROAD, OSBORNE PARK, WA 6017, Australia",-31.907667,115.8119468
53,"6 BERRIMAN DRIVE, WANGARA, WA 6065, Australia",-31.79250029999999,115.8143281
54,"6 AUTOMOTIVE DRIVE, WANGARA, WA 6065, Australia",-31.79436059999999,115.8153883
55,"21 SHERWOOD RD, ROCKLEA, QLD 4106, Australia",-27.5406445,153.0108178
56,"100 SLATER PARADE, KEILOR EAST, VIC 3033, Australia",-37.7315377,144.8602666
57,"2/11 ARGONG CHASE, COCKBURN CENTRAL, WA 6164, Australia",-32.1257656,115.8431969
58,"163 GRANITE ST, GEEBUNG, QLD 4034, Australia",-27.3654366,153.0550772
59,"41 KIRKHAM RD, BOWRAL, NSW 2576, Australia",-34.4755297,150.4179122
60,"13 GIANCARLO CRES, DOOLANDELLA, QLD 4077, Australia",-27.6098449,152.9864729
61,"5 DIGBY PARKWAY, ROCKBANK, VIC 3335, Australia",-37.7347351,144.6409993
62,"10 SPENCER RD, NERANG, QLD 4211, Australia",-27.9979776,153.3411183
63,"86 GLOSSOP ST, ST MARYS, NSW 2760, Australia",-33.761739,150.7817697
64,"934-936 VICTORIA RD, WEST RYDE, NSW 2114, Australia",-33.8100062,151.0930561
65,"200 CHESTERVILLE RD, MOORABBIN, VIC 3189, Australia",-37.9460437,145.0595544
66,"107 DIAGONAL RD, WARRADALE, SA 5046, Australia",-34.9969688,138.5303681
67,"110 CONTOUR RD, TRAFALGAR, VIC 3824, Australia",-38.2042025,146.1601574
68,"145 GOUGER ST, ADELAIDE, SA 5000, Australia",-34.9307776,138.5937564
69,"1/33A RACE COURSE RD, WHYALLA NORRIE, SA 5608, Australia",-33.0409219,137.5427366
70,"24 GARRAGULL DR, YARRABILBA, QLD 4207, Australia",-27.806311,153.1112433
71,"8 PARRAMATTA RD, UNDERWOOD, QLD 4119, Australia",-27.613599,153.1154391
72,"35 TROODE ST, WEST PERTH, WA 6005, Australia",-31.9429367,115.8441335
73,"53-55 BEERBURRUM RD, CABOOLTURE, 4510, Australia",-27.0786779,152.9515014
74,"56 CHAPMAN RD, GERALDTON, WA 6530, Australia",-28.7710917,114.6134211
