line_index,full_address,lat,lon
1,"P.O. BOX 74 BADILI, PORT MORESBY, Papua New Guinea",-9.4785607,147.1788567
2,"14 LAFITTE ROAD, WINGFIELD, SA 5013, Australia",-34.843871,138.5683585
3,"KOAST HOUSE 28 HINES RD, O'CONNOR, 6163, Australia",-32.0612383,115.7851621
4,"P.O. BOX 312, 9-19 LIONEL RD, MOUNT WAVERLEY VIC, 3149",-37.898274,145.138582
5,"10 FRIESIAN CLOSE, SANDGATE, NSW 2304, Australia",-32.8721849,151.7102474
6,"415 EAST TAMAKI ROAD, EAST TAM, AUCKLAND, 2013",-36.9516656,174.9022351
7,"P.O. BOX 6764. BLACKTOWN, ARNDELL PARK, 2148, Australia",-33.7878243,150.8759624
8,"62 COLUMBIA AVE, HORNBY SOUTH, CHRISTCHURCH, 8042",-43.55941199999999,172.5224858
9,"CR 72 A 52 A 37, BOGOTA, 11 110111, Colombia",4.6875274,-74.0960451
10,"BLD A LEVEL 3, 11 TALAVERA ROA, MACQUARIE PARK NSW, 2113",-33.782137,151.1295788
11,"4-8 PARKER STREET, FOOTSCRAY, MELBOURNE, 3011",-37.8064352,144.9032999
12,"BLDG, LV. 3, 11 TALAVERA RD MACQUARIE PARK, SA",-33.7831907,151.1297288
13,"11 TALAVERA ROAD, FREMANTLE, WA 4018, Australia",-32.0517901,115.755096
14,"KOAST HOUSE 28 HINES RD, O'CONNOR, QLD 6163, Australia",-32.0612383,115.7851621
15,"25 PEARSON STREET, WAGGA WAGGA, NSW 2650, Australia",-35.1193989,147.3450753
16,"25 PEARSON STREET, WAGGA WAGGA, NSW 2650, Australia",-35.1193989,147.3450753
17,"7 Romsey Street, WAITARA, NSW 2077, Australia",-33.7093841,151.1025424
18,"54-56 Stennett Road, INGLEBURN, 2565, Australia",-34.0047207,150.8423468
19,"239 PRINCESS HIGHWAY, ULLADULLA, NSW 2539, Australia",-35.3692418,150.4685537
20,"20 KALORA AVE, DEE WHY, NSW 2099, Australia",-33.7431237,151.2916568
21,"154 GAN GAN ROAD, ANNA BAY, NSW 2316, Australia",-32.7777969,152.0857241
22,"30 BRIDGE STREET, TAMWORTH, NSW 2340, Australia",-31.0917983,150.9241881
23,"106 JESSIE STREET, ARMIDALE, NSW 2350, Australia",-30.5119412,151.663385
24,"82 CRAWFORD STREET, BULAHDELAH, NSW 2423, Australia",-32.4134505,152.2091126
25,"14 ALICE STREET, BARRABA, NSW 2347, Australia",-30.38004399999999,150.6092794
26,"74-76 DALGARNO STREET, COONABARABRAN, NSW 2357, Australia",-31.2731252,149.2793416
27,"27 Oliver Street, INVERELL, NSW 2360, Australia",-29.77252829999999,151.1160627
28,"308 WINDSOR ROAD, BAULKHAM HILLS, NSW 2153, Australia",-33.7656218,150.9962982
29,"UNIT1, 13-15 WORKS PLACE, MILPERRA NSW, 2214",-33.9339382,150.993789
30,"39 Elizabeth Street, CAMDEN, NSW 2570, Australia",-34.053036,150.697237
31,"33 COOPER STREET, MACKSVILLE, NSW 2447, Australia",-30.712227,152.921483
32,"1 MILDON ROAD, Tuggerah, NSW 2259, Australia",-33.3036165,151.4198827
33,"351 NEWBRIDGE RD., MOOREBANK, NSW 2170, Australia",-33.9297674,150.9372339
34,"487-489 Pacific Highway, ARTARMON, NSW 2064, Australia",-33.8094909,151.1783977
35,"79 - 81 Bronte Rd, BONDI JUNCTION, NSW 2022, Australia",-33.8950187,151.2501068
36,"155-161 The Entrance Road, ERINA, NSW 2250, Australia",-33.4378589,151.3799023
37,"115 Wollongong Street, FYSHWICK, ACT 2609, Australia",-35.32286060000001,149.176635
38,"280 PARRAMATTA ROAD, GRANVILLE, NSW 2142, Australia",-33.8282948,151.0055774
39,"Cnr Burdett & Hunter Streets, HORNSBY, NSW 2077, Australia",-33.7025617,151.1008712
40,"335 Hume Highway, LIVERPOOL, NSW 2170, Australia",-33.9303699,150.9172144
41,"30-34 Bathurst Road, ORANGE, NSW 2800, Australia",-33.2870148,149.1068268
42,"New Lake Entrance Road, SHELLHARBOUR, NSW 2529, Australia",-34.5654974,150.8271939
43,"10 VICTORIA STREET, SMITHFIELD, NSW 2164, Australia",-33.8515469,150.9422844
44,"138-142 Taren Point Road, TAREN POINT, NSW 2229, Australia",-34.0226361,151.1216846
45,"33 HAMMOND AVENUE, WAGGA WAGGA, NSW 2650, Australia",-35.1202249,147.3813069
46,"Cnr Corrimal & Swan Streets, WOLLONGONG, NSW 2500, Australia",-34.4354675,150.8931619
47,"178 MAYBE STREET, BOMBALA, NSW 2632, Australia",-36.913652,149.2370233
48,"6 Station Street, BRANXTON, NSW 2335, Australia",-32.6616986,151.3457878
49,"6 STATION ST, BRANXTON, NSW 2335, Australia",-32.6616986,151.3457878
50,"494 Pacific Hwy, BELMONT, NSW 2280, Australia",-33.0326126,151.6604941
51,"159 ORLANDO ST, COFFS HARBOUR, NSW 2450, Australia",-30.2893896,153.1306162
52,"721 The Horsley Drive, SMITHFIELD, NSW 2164, Australia",-33.8526621,150.9366464
53,"1 KEN HOWARD CRS, NAMBUCCA HEADS, NSW 2448, Australia",-30.6357768,152.9818792
54,"46 PEISLEY STREET, ORANGE, NSW 2800, Australia",-33.294505,149.101996
55,"9 HARTLEY DRIVE, THORNTON, NSW 2322, Australia",-32.7884234,151.637899
56,"70 CONADILY STREET, GUNNEDAH, NSW 2380, Australia",-30.9745027,150.2476579
57,"94 PLAIN STREET, TAMWORTH, NSW 2340, Australia",-31.0868939,150.9131947
58,"461 OCEAN DR., LAURIETON, NSW 2443, Australia",-31.64376399999999,152.7977716
59,"67 Rodd Street, CANOWINDRA, NSW 2804, Australia",-33.5509552,148.6708454
60,"140-146 WALKER STREET, CASINO, NSW 2470, Australia",-28.8623156,153.0481879
61,"108 Batt Street, PENRITH, NSW 2750, Australia",-33.7682693,150.6824889
62,"UNIT 6, 8 KERTA ROAD, KINCUMBER NSW, 2251",-33.4748324,151.3931871
63,"2 DAVID STREET, DOYALSON, NSW 2262, Australia",-33.2028546,151.5238023
64,"36 DENNISON STREET, CONDOBOLIN, NSW 2877, Australia",-33.0851617,147.1525048
65,"124 CARTHAGE STREET, TAMWORTH, NSW 2340, Australia",-31.0908151,150.9368226
66,"Unit 3/Lot 3 Lukis Ave, RICHMOND, NSW 2753, Australia",-33.600825,150.763448
67,"60 VICTORIA STREET, TAREE, NSW 2430, Australia",-31.9108015,152.4658023
68,"WILSON STREET, COLLARENEBRI, NSW 2833, Australia",-29.5429148,148.5755071
69,"34A PLAIN STREET, TAMWORTH, NSW 2340, Australia",-31.0874998,150.9123477
70,"1 / 6 Charles St, NORTH RICHMOND, NSW 2754, Australia",-33.5792826,150.7166131
71,"18 NORFOLK AVENUE, SOUTH NOWRA, NSW 2541, Australia",-34.91099910000001,150.5801772
72,"1A BINNIA STREET, COOLAH, NSW 2843, Australia",-31.82184749999999,149.7244069
73,"3 BLAKEY STREET, COBAR, NSW 2835, Australia",-31.5011972,145.8399232
74,"133 FITZROY STREET, COWRA, NSW 2794, Australia",-33.8360857,148.6964455
75,"7 RICHARD ST, BOURKE, NSW 2840, Australia",-30.0924517,145.9367282
76,"196-198 Sunnyholt Road, KINGS PARK, NSW 2148, Australia",-33.7484226,150.9155549
77,"DUBBO ROAD, DUNEDOO, NSW 2844, Australia",-32.0163115,149.4006204
78,"LOT 2 CUMBERLAND AVE, SOUTH NOWRA, NSW 2541, Australia",-34.9081058,150.5878844
79,"44 TOOGONG STREET, CUDAL, NSW 2864, Australia",-33.286074,148.7446423
80,"130 VICTORIA ROAD, PARRAMATTA, NSW 2150, Australia",-33.808225,151.0172908
81,"130 Sunnyholt Road, BLACKTOWN, NSW 2148, Australia",-33.7545862,150.9146464
82,"LOT 9 BENCUBBIN ROAD, DUBBO, NSW 2830, Australia",-32.3196046,148.7129884
83,"39 Doyle Street, BREWARRINA, NSW 2839, Australia",-29.96168029999999,146.8612866
84,"2/235 Princes Highway, UNANDERRA, NSW 2526, Australia",-34.462343,150.838374
85,"281 DOWLING STREET, DUNGOG, NSW 2420, Australia",-32.3988975,151.7585303
86,"18 KYLIE CRESCENT, BATEMANS BAY, NSW 2536, Australia",-35.7169533,150.1733383
87,"46 ACACIA AVE, PORT MACQUARIE, NSW 2444, Australia",-31.4483595,152.8896568
88,"987 ARMIDALE ROAD, NEMINGHA, NSW 2340, Australia",-31.12430599999999,150.9833993
89,"182 Argyle Street, PICTON, NSW 2571, Australia",-34.171489,150.6104444
90,"3 YALLOURN STREET, FYSHWICK, ACT 2609, Australia",-35.3332375,149.168915
91,"1/11 KAROONDA CLOSE, RATHMINES, NSW 2283, Australia",-33.0384562,151.5669789
92,"47 Ogilvie Street, DENMAN, NSW 2328, Australia",-32.3894859,150.6852881
93,"12-16 FRASER DRIVE, COFFS HARBOUR, NSW 2450, Australia",-30.31409,153.098499
94,"7 TOP OAKEY LANE, PIALLAMORE, NSW 2340, Australia",-31.1488591,151.0490706
