sold_to_group,sold_to,sold_to_name,ship_to_state,ship_to,ship_to_name,address,bde_state,salesman_id,salesman_name,longitude,latitude
AJT,731942,JAXQUICKFIT FRANCHISING SYSTEMS P/L,NSW,731942,JAXQUICKFIT FRANCHISING SYSTEMS P/L,LEVEL 2 39-47 ALBANY STREET,NSW,61600892,Lee Don,151.2018557,-33.8242277
ATD,100142,MARATHON TYRES PTY  LTD,NSW,100142,MARATHON TYRES PTY  LTD,10 FRIESIAN CLOSE,NSW,61600775,LUTTRELL STEVE,151.7102474,-32.8721849
ATD,724363,PREMIUM TYRES - DAPTO,NSW,724363,PREMIUM TYRES - DAPTO,144-150 PRINCESS HWY,NSW,61601123,Cummings Mark,150.7923532,-34.4958037
ATD,724390,TELESCOPE TYRES & BATTERIES,NSW,724390,TELESCOPE TYRES & BATTERIES,62 CLARINDA STREET,NSW,61600997,Hamid Jallis,148.1833299,-33.1423087
ATD,724579,AAA TYRE FACTORY,NSW,724579,AAA TYRE FACTORY,UNIT 9 2 DONALD STREET,NSW,61600997,Hamid Jallis,150.9808799,-33.8685502
ATD,724925,NATIONAL TYRE GROUP,NSW,724925,NATIONAL TYRE GROUP,5 KURRAJONG ROAD NORTH,NSW,61600775,LUTTRELL STEVE,150.7825421,-33.7613902
ATD,725466,TYRE KINGDOM P/L,NSW,725466,TYRE KINGDOM P/L,635 CHURCH STREET,NSW,61601123,Cummings Mark,151.0000602,-33.7942821
ATD,725741,DELARUE TYRES PTY LTD,VIC,725741,DELARUE TYRES PTY LTD,26 GILBY ROAD,VIC,61600991,Hobkirk Calvin,145.1372658,-37.8969487
ATD,728841,BEERWAH DISCOUNT TYRES,QLD,728841,BEERWAH DISCOUNT TYRES,87 BEERWAH PARADE,QLD,61600992,Spires Steven,152.9618247,-26.8624046
ATD,729257,TYRE EVOLUTION,QLD,729257,TYRE EVOLUTION,70 LAVARACK AVE,QLD,0,,153.0956689,-27.4319639
ATD,729697,LISMORE TYRE,NSW,729697,LISMORE TYRE,63 UNION ST,QLD,61601084,Sampson Kieren,153.2706451,-28.8083477
ATD,731721,ASSOCIATED COLD TREAD TYRES,VIC,731721,ASSOCIATED COLD TREAD TYRES,82-86 DOURO STREET,VIC,61601007,Bilston Kelley,144.3495147,-38.1163493
ATD,731722,WILLIAMSON TYRECO P/L,VIC,731722,WILLIAMSON TYRECO P/L,UNIT 11 44 BRUNEL ROAD,VIC,61600996,Bellotto Nicola,145.1451315,-38.100593
ATD,732208,MICHELIN SERVICE CENTRE,SA,732208,MICHELIN SERVICE CENTRE,32 PINE FREEZER ROAD,SA,61600951,Gultjaeff Jason,135.842493,-34.7487102
ATD,732494,DIRECT WHOLESALE  TYRE P/L,QLD,732494,DIRECT WHOLESALE  TYRE P/L,29-33 CURLEY CIRCUIT,QLD,61601120,Maclure Adam,146.8297503,-19.3770635
ATD,732676,ADVANCE TYRE & AUTO P/L,NSW,732676,ADVANCE TYRE & AUTO P/L,9 JAMES STREET,NSW,61601123,Cummings Mark,151.100557,-33.708254
ATD,734063,ROCKLEA TRUCK PARTS,QLD,734063,ROCKLEA TRUCK PARTS,1136 BOUNDARY ROAD,QLD,61601120,Maclure Adam,152.9362247,-27.5901584
ATD,736240,FENNELL TYRES INTERNATIONAL PTY LTD,WA,736240,FENNELL TYRES INTERNATIONAL PTY LTD,169 KEWDALE RD,WA,60020059,Gilbert Michael,115.9625497,-31.9779599
ATD,736432,COMMERCIAL TYRES,WA,736432,COMMERCIAL TYRES,30 BASSENDEAN RD,WA,61600247,Fruci Davide,115.9210524,-31.91539
ATD,738270,STATE TYRE SERVICE,SA,738270,STATE TYRE SERVICE,21 PILATUS DRIVE,SA,61600951,Gultjaeff Jason,138.606023,-34.7183712
ATD,A000038,MILLARD TYRES YATALA,QLD,A000038,MILLARD TYRES YATALA,37 OLD PACIFIC HWY,QLD,61601084,Sampson Kieren,153.224396,-27.7342683
ATD,A005271,MOBILE TYRE SHOP,VIC,A005271,MOBILE TYRE SHOP,1/174 ATLANTIC DRIVE,VIC,61600996,Bellotto Nicola,145.1839707,-38.0130358
ATD,A010021,SE WHEEL ALIGNMENT & TYRE SERVICE,SA,A010021,SE WHEEL ALIGNMENT & TYRE SERVICE,2 DEVIATION ROAD,SA,61600951,Gultjaeff Jason,140.7308442,-36.9591622
ATD,A013176,R K WHOLESALE TYRES,VIC,A013176,R K WHOLESALE TYRES,23 MACQUARIE DRIVE,VIC,61600991,Hobkirk Calvin,145.0305196,-37.6909464
ATD,A015348,FINDLAY IMPORT AND TRADE,QLD,A015348,FINDLAY IMPORT AND TRADE,56 HAWKINS CRESCENT,QLD,61601120,Maclure Adam,152.8208879,-27.5880253
ATD,A019776,RINGTREAD SA,SA,A019776,RINGTREAD SA,509 CROSS KEYS ROAD,SA,61600951,Gultjaeff Jason,138.602249,-34.8234222
ATD,A024644,THE TYRE HUB,VIC,A024644,THE TYRE HUB,4A WELLSFORD DR,VIC,61601007,Bilston Kelley,144.3198754,-36.7475543
ATD,A024737,TYREMAX,VIC,A024737,TYREMAX,1 HEYINGTON AVE,VIC,61600991,Hobkirk Calvin,145.0146183,-37.6835309
ATD,A025341,GET A GRIP TYRES PTY LTD,WA,A025341,GET A GRIP TYRES PTY LTD,52 REDCLIFF ROAD,WA,61600247,Fruci Davide,115.9548116,-31.9253335
ATD,A027783,COONAWARRA MECHANICAL SERVICES PTY,SA,A027783,COONAWARRA MECHANICAL SERVICES PTY,40 ABBEY RD,SA,61600951,Gultjaeff Jason,140.8312622,-37.3698819
ATD,A028116,ALL TYRES AUSTRALIA,NSW,A028116,ALL TYRES AUSTRALIA,UNIT 5/177 NEWTON RD,NSW,61601099,Robinson Peter,150.890393,-33.8386185
ATD,A028846,TYRE TEAM GOULBURN,NSW,A028846,TYRE TEAM GOULBURN,31-35 FINDLAY RD,NSW,61601123,Cummings Mark,150.6906557,-33.9334069
AMM,724393,THOMAS BRAKE & CLUTCH MARRICKVILLE,NSW,724393,THOMAS BRAKE & CLUTCH MARRICKVILLE,UNIT 1 87 FITZROY STREET,NSW,61600997,Hamid Jallis,151.1678083,-33.9078957
AMM,724624,APEX AUTOWORKS AND TYRES,NSW,724624,APEX AUTOWORKS AND TYRES,69 MACQUARIE ROAD,NSW,61600997,Hamid Jallis,150.5716158,-33.6991173
AMM,728762,FIRST AVENUE TYRE & MECHANICAL,QLD,728762,FIRST AVENUE TYRE & MECHANICAL,151-153 FIRST AVE,QLD,61600992,Spires Steven,153.1735801,-27.0805476
AMM,729173,RYANIE FOR TYRES - WARWICK,QLD,729173,RYANIE FOR TYRES - WARWICK,37 VICTORIA ST,QLD,61601120,Maclure Adam,152.036979,-28.2101673
AMM,731634,GOOD DEAL TYRES P/L,VIC,731634,GOOD DEAL TYRES P/L,498 BENETOOK AVE,SA,61600951,Gultjaeff Jason,142.1671029,-34.206458
AMM,731932,DOWLING MCCARTHY TYRES PTY.LTD,VIC,731932,DOWLING MCCARTHY TYRES PTY.LTD,66 BASS HIGHWAY,VIC,61601007,Bilston Kelley,145.8750948,-41.0404948
AMM,732154,HIGHWAY TYRE SERVICE P/L,VIC,732154,HIGHWAY TYRE SERVICE P/L,34 PRINCES HWY,VIC,61600991,Hobkirk Calvin,145.2373146,-38.0013469
AMM,732162,HORSHAM TYRE & BATTERY SERVICE,VIC,732162,HORSHAM TYRE & BATTERY SERVICE,77 MCPHERSON ST,VIC,61601007,Bilston Kelley,142.2053717,-36.7173664
AMM,732247,MALVERN TYRE & SERVICE,VIC,732247,MALVERN TYRE & SERVICE,1105 DANDENONG ROAD,VIC,61601007,Bilston Kelley,145.057962,-37.8835341
AMM,732317,THE TYRE PROFESSIONALS,VIC,732317,THE TYRE PROFESSIONALS,574 SOMERVILLE RD,VIC,61600991,Hobkirk Calvin,144.8250884,-37.8056499
AMM,732485,MCNEIL BROS TYRES,VIC,732485,MCNEIL BROS TYRES,777 RAGLAN PAE,VIC,61601007,Bilston Kelley,142.4798722,-38.3768731
AMM,733527,HARRY'S TYRES,NSW,733527,HARRY'S TYRES,LOT 11 WARATAH STREET,NSW,61601123,Cummings Mark,148.2053983,-35.2988276
AMM,733725,TYRE MART P/L,NSW,733725,TYRE MART P/L,68 CUMBERLAND RD,NSW,61600997,Hamid Jallis,150.8686691,-33.9997323
AMM,736501,TOODYAY TYRE & EXHAUST,WA,736501,TOODYAY TYRE & EXHAUST,24 STIRLING TERRACE,WA,61600247,Fruci Davide,116.4763188,-31.5557177
AMM,A003968,GRIFFITH DISCOUNT TYRES & BATTERIES,NSW,A003968,GRIFFITH DISCOUNT TYRES & BATTERIES,24 BANNA AVENUE,NSW,61601123,Cummings Mark,146.0607789,-34.2903114
AMM,A005468,MARSHYS TYRE & MECHANICAL,NSW,A005468,MARSHYS TYRE & MECHANICAL,8 ELBOW STREET,NSW,61600775,LUTTRELL STEVE,152.8314424,-31.0796413
AMM,A008712,TYRE ASSIST & MOBILE TYRE ASSIST,NSW,A008712,TYRE ASSIST & MOBILE TYRE ASSIST,78 TWEED STREET,QLD,61601084,Sampson Kieren,153.5469513,-28.5448227
AMM,A010646,TYRE TECH WHEELS AND AUTO,VIC,A010646,TYRE TECH WHEELS AND AUTO,5/1197 PASCOVALE ROAD,VIC,61601007,Bilston Kelley,144.9199934,-37.675954
AMM,A012015,BEAUDESERT TYRE STORE,QLD,A012015,BEAUDESERT TYRE STORE,168 BRISBANE STREET,QLD,61601120,Maclure Adam,152.9944773,-27.9737234
AMM,A012112,FLEX TYRE,NSW,A012112,FLEX TYRE,9 VORE STREET,NSW,0,,151.0439565,-33.8379253
AMM,A012697,ADVANCE TYRES GYMPIE,QLD,A012697,ADVANCE TYRES GYMPIE,18 BRISBANE ROAD,QLD,61600992,Spires Steven,152.6780951,-26.2014229
AMM,A012976,IP AUTOCARE,NSW,A012976,IP AUTOCARE,3/62 SUNNYHOLT RD,NSW,61600775,LUTTRELL STEVE,150.9132193,-33.7610963
AMM,A013422,TABLELAND TYRE CENTRE,QLD,A013422,TABLELAND TYRE CENTRE,63 TOLGA RD,QLD,61601120,Maclure Adam,145.4761504,-17.2541301
AMM,A016753,ALLCARE TYRES & AUTO CENTRE PTY LTD,NSW,A016753,ALLCARE TYRES & AUTO CENTRE PTY LTD,2 DAVID ST,NSW,61600775,LUTTRELL STEVE,151.5238023,-33.2028546
AMM,A017632,EVERTYRES PTY LTD,VIC,A017632,EVERTYRES PTY LTD,5/556-598 PRINCESS HWY,VIC,61600996,Bellotto Nicola,145.1772392,-37.9507169
AMM,A018455,PJ DISCOUNT TYRES,VIC,A018455,PJ DISCOUNT TYRES,271 BARKER STREET,VIC,61601007,Bilston Kelley,144.216859,-37.061775
AMM,A018866,AUSTRALIND TYRE SERVICE (FB INVEST),WA,A018866,AUSTRALIND TYRE SERVICE (FB INVEST),16 PIGGOTT DRIVE,WA,60020059,Gilbert Michael,115.745597,-33.2764491
AMM,A020742,TRACTUS AUSTRALIA,WA,A020742,TRACTUS AUSTRALIA,43 ROBERTS ST,WA,61600247,Fruci Davide,116.0062544,-30.640526
AMM,A022171,TORQUE TYRES AND TRAILER SPARES,QLD,A022171,TORQUE TYRES AND TRAILER SPARES,141 SHAKESPEARE ST,QLD,61601120,Maclure Adam,149.1877812,-21.1480956
AMM,A022687,4CELL TYRE & MECHANICAL,NSW,A022687,4CELL TYRE & MECHANICAL,111 FORRESTER RD,NSW,61600775,LUTTRELL STEVE,150.7760411,-33.7569402
AMM,A027574,MT BARKER TYRE & EXHAUST,WA,A027574,MT BARKER TYRE & EXHAUST,57 LOWOOD RD,WA,60020059,Gilbert Michael,117.6621794,-34.6287074
AHD,724227,BEARS TYRES PTY LTD,NSW,724227,BEARS TYRES PTY LTD,UNIT1 13-15 WORKS PLACE,NSW,61601123,Cummings Mark,150.993789,-33.9339382
AHD,724252,BRIDGESTONE SELECT - ORANGE,NSW,724252,BRIDGESTONE SELECT - ORANGE,46 PEISLEY STREET,NSW,61600997,Hamid Jallis,149.101996,-33.294505
AHD,724265,CLEAVER'S TYRE SERVICE,NSW,724265,CLEAVER'S TYRE SERVICE,60 VICTORIA STREET,NSW,61600775,LUTTRELL STEVE,152.4658023,-31.9108015
AHD,724298,GOODSPANNER TYRE CENTRE,NSW,724298,GOODSPANNER TYRE CENTRE,192 Harbord Road,NSW,61601123,Cummings Mark,151.279077,-33.7648355
