Sold-to,Group,Ship_to,(TTL) SR_Rebate_Code
725741,,,ALL_ALL_AMM_A
736240,,,ALL_ALL_FEN_Q
724390,,,ALL_ALL_TEL_Q
A028193,,,HK_ALL_RRS_A
738270,,,HK_ALL_DIC_A
A014789,,,HK_ALL_DIB_A
A029006,,,HK_ALL_DIB_A
724390,,,HK_ALL_DIA_A
728841,,,HK_ALL_DIA_A
729257,,,HK_ALL_DIA_A
729697,,,HK_ALL_DIA_A
731711,,,HK_ALL_DIA_A
731721,,,HK_ALL_DIA_A
731932,,,HK_ALL_DIA_A
732209,,,HK_ALL_DIA_A
732676,,,HK_ALL_DIA_A
734063,,,HK_ALL_DIA_A
736240,,,HK_ALL_DIA_A
A005271,,,HK_ALL_DIA_A
A012112,,,HK_ALL_DIA_A
A013176,,,HK_ALL_DIA_A
A015348,,,HK_ALL_DIA_A
A021829,,,HK_ALL_DIA_A
A024737,,,HK_ALL_DIA_A
A026640,,,HK_ALL_DIA_A
724298,,,HK_ALL_MTS_A
724336,,,HK_ALL_MTS_A
724398,,,HK_ALL_MTS_A
725203,,,HK_ALL_MTS_A
732154,,,HK_ALL_MTS_A
732426,,,HK_ALL_MTS_A
733527,,,HK_ALL_MTS_A
737246,,,HK_ALL_MTS_A
A000430,,,HK_ALL_MTS_A
A001288,,,HK_ALL_MTS_A
A009715,,,HK_ALL_MTS_A
A010021,,,HK_ALL_MTS_A
A010022,,,HK_ALL_MTS_A
A012876,,,HK_ALL_MTS_A
A013576,,,HK_ALL_MTS_A
A019313,,,HK_ALL_MTS_A
A019556,,,HK_ALL_MTS_A
A019598,,,HK_ALL_MTS_A
A020888,,,HK_ALL_MTS_A
A021758,,,HK_ALL_MTS_A
A021820,,,HK_ALL_MTS_A
A022014,,,HK_ALL_MTS_A
A022113,,,HK_ALL_MTS_A
A022194,,,HK_ALL_MTS_A
A022298,,,HK_ALL_MTS_A
A022405,,,HK_ALL_MTS_A
A022931,,,HK_ALL_MTS_A
A024357,,,HK_ALL_MTS_A
A024641,,,HK_ALL_MTS_A
A024643,,,HK_ALL_MTS_A
A025305,,,HK_ALL_MTS_A
A025466,,,HK_ALL_MTS_A
A025707,,,HK_ALL_MTS_A
A025713,,,HK_ALL_MTS_A
A026582,,,HK_ALL_MTS_A
A027178,,,HK_ALL_MTS_A
A027322,,,HK_ALL_MTS_A
A027598,,,HK_ALL_MTS_A
A027673,,,HK_ALL_MTS_A
A027724,,,HK_ALL_MTS_A
A028385,,,HK_ALL_MTS_A
A028478,,,HK_ALL_MTS_A
A028494,,,HK_ALL_MTS_A
A028608,,,HK_ALL_MTS_A
A028674,,,HK_ALL_MTS_A
A028789,,,HK_ALL_MTS_A
100142,,,HK_ALL_GLD_A
724265,,,HK_ALL_GLD_A
724322,,,HK_ALL_GLD_A
724363,,,HK_ALL_GLD_A
724379,,,HK_ALL_GLD_A
724380,,,HK_ALL_GLD_A
724410,,,HK_ALL_GLD_A
724577,,,HK_ALL_GLD_A
724579,,,HK_ALL_GLD_A
727908,,,HK_ALL_GLD_A
728289,,,HK_ALL_GLD_A
728762,,,HK_ALL_GLD_A
729723,,,HK_ALL_GLD_A
730273,,,HK_ALL_GLD_A
731634,,,HK_ALL_GLD_A
731641,,,HK_ALL_GLD_A
731715,,,HK_ALL_GLD_A
731722,,,HK_ALL_GLD_A
731976,,,HK_ALL_GLD_A
731996,,,HK_ALL_GLD_A
732131,,,HK_ALL_GLD_A
732162,,,HK_ALL_GLD_A
732208,,,HK_ALL_GLD_A
732317,,,HK_ALL_GLD_A
732356,,,HK_ALL_GLD_A
732451,,,HK_ALL_GLD_A
732458,,,HK_ALL_GLD_A
732485,,,HK_ALL_GLD_A
732643,,,HK_ALL_GLD_A
732762,,,HK_ALL_GLD_A
733197,,,HK_ALL_GLD_A
733416,,,HK_ALL_GLD_A
734210,,,HK_ALL_GLD_A
734834,,,HK_ALL_GLD_A
734921,,,HK_ALL_GLD_A
735189,,,HK_ALL_GLD_A
736187,,,HK_ALL_GLD_A
736242,,,HK_ALL_GLD_A
736362,,,HK_ALL_GLD_A
736432,,,HK_ALL_GLD_A
736501,,,HK_ALL_GLD_A
736525,,,HK_ALL_GLD_A
736532,,,HK_ALL_GLD_A
736634,,,HK_ALL_GLD_A
737616,,,HK_ALL_GLD_A
737817,,,HK_ALL_GLD_A
739205,,,HK_ALL_GLD_A
739519,,,HK_ALL_GLD_A
742268,,,HK_ALL_GLD_A
742667,,,HK_ALL_GLD_A
729020,,,HK_ALL_GLD_A
729338,,,HK_ALL_GLD_A
734903,,,HK_ALL_GLD_A
A000037,,,HK_ALL_GLD_A
A000038,,,HK_ALL_GLD_A
A001393,,,HK_ALL_GLD_A
A001494,,,HK_ALL_GLD_A
A001641,,,HK_ALL_GLD_A
A004109,,,HK_ALL_GLD_A
A005468,,,HK_ALL_GLD_A
A005553,,,HK_ALL_GLD_A
A006776,,,HK_ALL_GLD_A
A007188,,,HK_ALL_GLD_A
A007192,,,HK_ALL_GLD_A
A007335,,,HK_ALL_GLD_A
A007888,,,HK_ALL_GLD_A
A008086,,,HK_ALL_GLD_A
A008364,,,HK_ALL_GLD_A
A008418,,,HK_ALL_GLD_A
A008712,,,HK_ALL_GLD_A
A009718,,,HK_ALL_GLD_A
A010307,,,HK_ALL_GLD_A
A010462,,,HK_ALL_GLD_A
A010645,,,HK_ALL_GLD_A
A010646,,,HK_ALL_GLD_A
A010721,,,HK_ALL_GLD_A
A010918,,,HK_ALL_GLD_A
A011113,,,HK_ALL_GLD_A
A011634,,,HK_ALL_GLD_A
A012015,,,HK_ALL_GLD_A
A012016,,,HK_ALL_GLD_A
A012094,,,HK_ALL_GLD_A
A012312,,,HK_ALL_GLD_A
A012400,,,HK_ALL_GLD_A
A012697,,,HK_ALL_GLD_A
A013090,,,HK_ALL_GLD_A
A013398,,,HK_ALL_GLD_A
A013422,,,HK_ALL_GLD_A
A013560,,,HK_ALL_GLD_A
A013574,,,HK_ALL_GLD_A
A013829,,,HK_ALL_GLD_A
A013969,,,HK_ALL_GLD_A
A014267,,,HK_ALL_GLD_A
A014439,,,HK_ALL_GLD_A
A015059,,,HK_ALL_GLD_A
A015161,,,HK_ALL_GLD_A
A015180,,,HK_ALL_GLD_A
A015359,,,HK_ALL_GLD_A
A015720,,,HK_ALL_GLD_A
A016464,,,HK_ALL_GLD_A
A016649,,,HK_ALL_GLD_A
A016713,,,HK_ALL_GLD_A
A017115,,,HK_ALL_GLD_A
A017632,,,HK_ALL_GLD_A
A018455,,,HK_ALL_GLD_A
A018751,,,HK_ALL_GLD_A
A018866,,,HK_ALL_GLD_A
A019314,,,HK_ALL_GLD_A
A019549,,,HK_ALL_GLD_A
A019687,,,HK_ALL_GLD_A
A019777,,,HK_ALL_GLD_A
A020046,,,HK_ALL_GLD_A
A020742,,,HK_ALL_GLD_A
A020881,,,HK_ALL_GLD_A
A020968,,,HK_ALL_GLD_A
A021326,,,HK_ALL_GLD_A
A021403,,,HK_ALL_GLD_A
A021460,,,HK_ALL_GLD_A
A021490,,,HK_ALL_GLD_A
A021613,,,HK_ALL_GLD_A
A021635,,,HK_ALL_GLD_A
A021925,,,HK_ALL_GLD_A
A022171,,,HK_ALL_GLD_A
A022185,,,HK_ALL_GLD_A
A022186,,,HK_ALL_GLD_A
A022253,,,HK_ALL_GLD_A
A022257,,,HK_ALL_GLD_A
A022537,,,HK_ALL_GLD_A
A022540,,,HK_ALL_GLD_A
A022604,,,HK_ALL_GLD_A
A022687,,,HK_ALL_GLD_A
A022738,,,HK_ALL_GLD_A
A022990,,,HK_ALL_GLD_A
A022996,,,HK_ALL_GLD_A
A023386,,,HK_ALL_GLD_A
A023461,,,HK_ALL_GLD_A
A024644,,,HK_ALL_GLD_A
A024947,,,HK_ALL_GLD_A
A025306,,,HK_ALL_GLD_A
A026810,,,HK_ALL_GLD_A
A027140,,,HK_ALL_GLD_A
A027321,,,HK_ALL_GLD_A
A027501,,,HK_ALL_GLD_A
A027563,,,HK_ALL_GLD_A
