Category,,,,,,,,,
ALL_ALL_AMM_A,0,"$20,000",,,,,,,
,0.00%,16.00%,,,,,,,
ALL_ALL_FEN_Q,0,650,,,,,,,
,0.00%,2.00%,,,,,,,
ALL_ALL_TEL_Q,0,$650,,,,,,,
,0.00%,2.00%,,,,,,,
HK__ALL_RRS_A,$0,"$10,000","$15,000","$20,000","$30,000","$40,000","$60,000","$100,000","$140,000"
,0.00%,6.00%,7.00%,8.00%,9.00%,11.00%,13.00%,14.00%,15.00%
HK_ALL_DIC_A,$0,"$10,000","$15,000","$20,000","$30,000","$40,000","$60,000","$100,000","$140,000"
,0.00%,6.00%,7.00%,8.00%,9.00%,11.00%,13.00%,14.00%,15.00%
HK_ALL_DIB_A,$0,"$20,000","$40,000","$60,000","$100,000","$140,000",,,
,0.00%,8.00%,11.00%,13.00%,14.00%,15.00%,,,
HK_ALL_DIA_A,0,40000,60000,100000,140000,,,,
,0.00%,11.00%,13.00%,14.00%,15.00%,,,,
HK_ALL_MTS_A,0,"$10,000","$15,000","$20,000","$30,000","$40,000","$60,000",,
,0.00%,4.00%,5.00%,6.00%,8.00%,10.00%,12.00%,,
HK_ALL_GLD_A,0,"$3,000","$10,000","$15,000","$20,000","$30,000","$40,000","$60,000",
,0.00%,5.00%,6.00%,7.00%,8.00%,9.00%,11.00%,13.00%,
LF_PCLT_ACD_A,0,"$2,000","$4,000","$6,000","$8,000","$12,000",,,
,0.00%,2.00%,4.00%,6.00%,8.00%,10.00%,,,
LF_PCLT_AHD_A,0,"$2,000","$4,000","$6,000","$8,000","$12,000",,,
,0.00%,2.00%,4.00%,6.00%,8.00%,10.00%,,,
LF_PCLT_AMM_A,0,"$2,000","$4,000","$6,000","$8,000","$12,000",,,
,0.00%,2.00%,4.00%,6.00%,8.00%,10.00%,,,
LF_PCLT_COM_A,0,"$2,000","$4,000","$6,000","$8,000","$12,000",,,
,0.00%,2.00%,4.00%,6.00%,8.00%,10.00%,,,
HK_PCLT_AJT_Q_SR,0,50,100,150,200,300,,,
,0.00%,4.00%,6.00%,8.00%,9.00%,10.00%,,,
HK_ALL_ABJ_Q_SR,0,50,100,150,,,,,
,0.00%,4.00%,6.00%,8.00%,,,,,
ALL_PCLT_ATP_Q_SR,0,20,40,60,80,100,120,,
,0.00%,6.00%,8.00%,10.00%,11.00%,13.00%,15.00%,,
HK_TBR_ATP_Q_SR,0,1,50,100,200,,,,
,0.00%,2.00%,3.00%,4.00%,5.00%,,,,
HK_ALL_ACD_A_SR,0,"$6,000","$9,000","$15,000","$21,000",,,,
