day,sold_to,ship_to,Line,product_group,pattern,material,inch,qty,amt
3,100142,100142,PCLT,Vantra/Light truck,RA18,2020158,14,2,97
3,100142,100142,TBR,TBR,AM09,3002649,22.5,10,4012
3,100142,100142,TBR,TBR,AH35,3002657,17.5,2,409
3,100142,100142,TBR,TBR,DL21,3003434,22.5,4,1184
3,100142,728865,PCLT,Dynapro,RF12,1033462,17,4,465
3,100142,728865,TBR,TBR,DM09,3002891,22.5,4,1360
3,724265,727973,PCLT,Dynapro,RA33,1015271,19,2,241
3,724265,727973,PCLT,Kinergy,K435,1024711,15,4,210
3,724363,724363,PCLT,Kinergy,K435,1024681,15,2,105
3,724363,725141,TBR,TBR,AH31+,3002806,22.5,10,3075
3,724363,725141,TBR,TBR,TH31,3003904,19.5,12,2664
3,724368,724368,PCLT,Dynapro,RF12,1029793,16,2,269
3,724368,724368,PCLT,X Fit,LV01,2021732,14,16,569
3,724390,724390,PCLT,Dynapro,RA43,1031425,18,6,694
3,724390,728198,PCLT,X Fit,LV01,2021732,14,50,1669
3,724390,728198,TBR,TBR,AH35,3002622,19.5,2,389
3,724390,736199,PCLT,X Fit,LV01,2021732,14,50,1669
3,724390,A012420,PCLT,G Fit,LH42,1017686,13,7,199
3,724390,A012420,PCLT,Kinergy,K435,1024683,15,4,213
3,724390,A012420,PCLT,Ventus,K127,1024309,18,4,433
3,724407,724407,PCLT,Kinergy,H436,1015527,17,2,187
3,724624,724624,PCLT,Ventus,K135,1029265,17,2,182
3,724903,724903,PCLT,Dynapro,RF12,2021921,17,4,583
3,725741,725741,PCLT,Dynapro,RF12,1029781,15,4,354
3,725741,725741,PCLT,Dynapro,RF12,1029792,18,5,689
3,725741,725741,PCLT,Dynapro,RF12,2022073,16,5,444
3,725741,725741,PCLT,Dynapro,RA33,1014139,16,2,185
3,725741,725741,PCLT,Dynapro,RA55,1035869,17,4,339
3,725741,725741,PCLT,Dynapro,RA55,1035871,17,4,351
3,725741,725741,PCLT,Dynapro,RA43,1030856,18,6,640
3,725741,725741,PCLT,Dynapro,RA43,1031431,19,2,315
3,725741,725741,PCLT,Kinergy,H436,1015527,17,4,296
3,725741,725741,PCLT,Kinergy,K435,1021000,16,37,1688
3,725741,725741,PCLT,Kinergy,K435,1024681,15,12,547
3,725741,725741,PCLT,Kinergy,K435,1024689,15,8,377
3,725741,725741,PCLT,Kinergy,K435,1024690,15,8,422
3,725741,725741,PCLT,Kinergy,K435,1024711,15,4,179
3,725741,725741,PCLT,Kinergy,K435,1024719,16,24,1196
3,725741,725741,PCLT,Kinergy,K435,1029616,16,5,314
3,725741,725741,PCLT,Kinergy,K435,1033125,15,9,418
3,725741,725741,PCLT,Optimo,H426,1011282,16,2,128
3,725741,725741,PCLT,Vantra/Light truck,RA18,2020675,14,4,174
3,725741,725741,PCLT,Ventus,K135,1031764,18,4,401
3,725741,725741,PCLT,Ventus,K135,1031790,16,2,143
3,725741,725741,PCLT,Ventus,K127A,1026958,19,1,137
