Category,,,,,,,,,,,,,,,
HQ_ATT_Q_min_2000_6%_max_4000_8%, -   , 2000 , 3000 , 4000 , 4000 , 4000 , 4000 , 4000 , 4000 , 4000 , 4000 , 4000 , 4000 , 4000 , 4000
,0.0%,6.0%,7.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%,8.0%
HK_AJT_A_min_5K_3%_max_17.5K_6%,0, $5000 , $7500 , $12500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500
,0.0%,3.0%,4.0%,5.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%
HK_AJT_A_min_6K_3%_max_20K_6%,0, $6000 , $9000 , $15000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000
,0.0%,3.0%,4.0%,5.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%
HK_AJT_Q_min_50_4%_max_300_10%,0,50,100,150,200,300,300,300,300,300,300,300,300,300,300
,0.0%,4.0%,6.0%,8.0%,9.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%,10.0%
HK_ATP_A_min_5K_3%_max_17.5K_6%,0, $5000 , $7500 , $12500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500 , $17500
,0.0%,3.0%,4.0%,5.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%
HK_ATP_Q_min_1_2%_max_200_5%,0,1,50,100,200,200,200,200,200,200,200,200,200,200,200
,0.0%,2.0%,3.0%,4.0%,5.0%,5.0%,5.0%,5.0%,5.0%,5.0%,5.0%,5.0%,5.0%,5.0%,5.0%
HK_ACD_A_min_6K_3%_max_21K_6%,0, $6000 , $9000 , $15000 , $21000 , $21000 , $21000 , $21000 , $21000 , $21000 , $21000 , $21000 , $21000 , $21000 , $21000
,0.0%,3.0%,4.0%,5.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%,6.0%
AL_ACM_A_min_2.5K_8%_max_20K_13%,0, $2500 , $5000 , $7500 , $10000 , $15000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000 , $20000
,0.0%,8.0%,9.0%,10.0%,11.0%,12.0%,13.0%,13.0%,13.0%,13.0%,13.0%,13.0%,13.0%,13.0%,13.0%
HK_ACM_Q_min_25_8%_max_100_11%,0, $25 , $50 , $75 , $100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100 , 100
