Sold-to,(TTL) SR_Rebate_Code,(HK) SR_Rebate_Code,(LF) SR_Rebate_Code
735364,,HK_ABJ_Q_min_51_4%_max_101_6%,
A015121,,HK_ACD_A_min_6K_3%_max_21K_6%,LF_ACD_A_min_1K_1%_max_7K_6%
730914,AL_ACM_A_min_2.5K_8%_max_20K_13%,,
A002744,AL_ACM_A_min_2.5K_8%_max_20K_13%,,
A004218,AL_ACM_A_min_2.5K_8%_max_20K_13%,,
A004237,AL_ACM_Q_min_25_8%_max_200_13%,,
A005811,AL_ACM_Q_min_25_8%_max_200_13%,,
A009492,AL_ACM_Q_min_25_8%_max_200_13%,,
A010947,AL_ACM_A_min_2.5K_8%_max_20K_13%,,
A014075,AL_ACM_A_min_2.5K_8%_max_20K_13%,,
A018754,,HK_TWG_A_min_2K_4%_max_30K_10%,LF_TWG_A_min_2K_4%_max_30K_10%
A018755,,HK_TWG_A_min_2K_4%_max_30K_10%,LF_TWG_A_min_2K_4%_max_30K_10%
A018756,,HK_TWG_A_min_2K_4%_max_30K_10%,LF_TWG_A_min_2K_4%_max_30K_10%
A018885,,HK_TWG_A_min_2K_4%_max_30K_10%,LF_TWG_A_min_2K_4%_max_30K_10%
A019091,,HK_TWG_A_min_2K_4%_max_30K_10%,LF_TWG_A_min_2K_4%_max_30K_10%
A019135,,HK_TWG_A_min_2K_4%_max_30K_10%,LF_TWG_A_min_2K_4%_max_30K_10%
A018891,,HK_ACM_Q_min_10_3%_max_50_7%,
A018891,AL_BNZ_Q_min_2K_4%_max_30K_10%,,
724265,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
724298,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
724301,,HK_MTS_A_min_5K_3%_max_60K_12%,LF_MTS_A_min_2K_4%_max_12K_10%
724322,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
724379,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
724380,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
724398,,HK_MTS_A_min_5K_3%_max_60K_12%,LF_MTS_A_min_2K_4%_max_12K_10%
724410,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
724577,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
725203,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
727908,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
728289,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
729020,,HK_MTS_A_min_5K_3%_max_60K_12%,LF_MTS_A_min_2K_4%_max_12K_10%
729723,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
730273,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
731641,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
731715,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
731976,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
731996,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
732316,,HK_MTS_A_min_5K_3%_max_60K_12%,LF_MTS_A_min_2K_4%_max_12K_10%
732356,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
732426,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
732451,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
732458,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
732643,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
732762,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
732868,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
733197,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
733416,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
734210,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
734834,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
734903,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
735189,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
736105,,HK_MTS_A_min_5K_3%_max_60K_12%,LF_MTS_A_min_2K_4%_max_12K_10%
736139,,HK_AHD_A_min_5K_2%_max_45K_10%,LF_AHD_A_min_3K_3%_max_10K_10%
736187,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
736242,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
736362,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
736525,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
736532,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
736634,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
737246,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
737616,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
737817,,HK_GOL_A_min_3K_5%_max_60K_13%,LF_GOL_A_min_2K_2%_max_12K_10%
